response,labels
"Sorry, kindly rephrase the question",8
"Sorry, can not understand you",8
Please give me more information,8
Not sure I understand,8
"Dear ABC,
 I would like to request a XXX days leave of absence for personal reasons. If possible, I would like to leave work on DDMMYYYY and return on DDMMYYYY. 
 If approved, I will be traveling during this time period, but I would be glad to assist with any questions via email or phone. 
 Thank you very much for your consideration. 
 Sincerely, 
 XYZ",7
"Dear ABC,
 I would like to request a leave of absence for medical reasons. I will be having hernia surgery on DDMMYYYY and expect to return to work approximately WW weeks later.
 I can provide written documentation from the surgeon, if necessary. 
 Thank you very much for your consideration. 
 Sincerely, 
 XYZ",7
"Dear ABC, 
 I am writing this letter to let you know that I am in need of a long-term leave. Thus, I would like to avail my full annual leave allotment as I have my complete yearly leave allowance. 
 I request you to consider my leave application of DD days as I am planning for an international vacation with my family. I would like to avail the leaves from start date to end date. 
 I have delegated my current project to person name. He/she very well understands about my project and is capable of handling the task without any difficulties. In fact, it is only the final part that is left to be carried out by him/her. 
 During the days of my absence from office, I can be reached at email address and contact number. 
 I will return to the office on DDMMYYYY . In case I want to resume the work sooner or later than the stated date, I will let you know well in advance. 
 Yours Sincerely, 
 XYZ",7
"Dear Recipient Name, 
 I hope that this letter finds you in the best of health. This letter concerns my request regarding maternity leave from {start date} to {end date}. It is going to be a three-month leave, and I will rejoin soon after that. 
 As I am going to be away for a very long time, I have authorized {name of the person} to take over my responsibilities. He/she has courteously agreed to take over my chair for DD days. 
 I have attached my medical certificate, along with other important details, required to avail the leave. 
 I also request you to give me the information of the hospital covered under the office insurance coverage so that a part of my medical expenses is taken care of. 
 In the case of an emergency, please contact me at {your contact information}.
 Yours Sincerely, 
 ABC",7
"Dear Mr./Mrs. {Recipient Name},
 I am writing this letter to let you know that my wife is in the final stage of her pregnancy and the due date is fast approaching. 
 Since this is going to be our first baby, I am way too excited to see my child and desire to be with her during the delivery and a couple of weeks post the delivery. 
 As we stay alone and my parents are going to join us in a few weeks, I request you to grant me leave for 30 days, beginning from the {date}.
 I have transferred the important duties to my associate {name of the person}, and he/she will look after the tasks until I get back to work. 
 I hope you understand my situation and authorize my paternity leave as soon as possible. 
 Thanks and regards, 
 ABC",7
"Dear Mr./Mrs. {Recipient Name},
 I am writing this application to request for seven days leave. The reason for my week-long leave is that I have to attend a telecommunication conference from {start date} to {end date}.
 This is an essential conference as I would encounter many new and advanced technologies that we could use to update our telecom system. I will be very interested in attending this conference to learn about the revolutionary aspects of the telecommunication industry. With the conference, there will likely be a two-day workshop in which I will learn and observe the things practically. 
 As this conference is in Frankfurt, I will have to leave early on the evening of {date} to be in time at the airport. 
 I shall be resuming office on {date} afternoon. I will be grateful to you for considering my leave application. 
 Sincerely, 
 ABC",7
"Dear Mr./Mrs. {Recipient Name},
 I am writing to notify you that I need sick leave from work because of a severe viral infection. I caught the infection yesterday evening and since then have been feeling very weak. 
 As per the doctor, I need to take medication for five days, along with proper rest for at least a week. The letter from the doctor is attached, confirming the need of time to recover from the illness. 
 Kindly allow me a week-long leave, until the {date}. Should I require an extended period off, I will let you know as early as possible. 
 Please feel free to contact me at your convenience, should you have any questions or require clarification concerning the ongoing project. 
 Thank you for your quick attention to this matter. 
 Sincerely, 
 ABC",7
"Dear Mr./Mrs. {Recipient Name},
 I am writing this letter to let you know about my requirement for an important and unexpected leave. This is because of an emergency in the family. 
 We have just got the news that my sibling has been diagnosed with dengue. I will be quickly heading to the hospital to be with her and look after the family. 
 I plan to return to work next week on {date}. I feel confident that my current projects are not going to suffer from such a quick absence and that my work record speaks for itself as much as my ability to make up for lost time. 
 I appreciate your support in this matter and anticipate hearing a response from you. 
 Yours sincerely, 
 ABC",7
"Dear Mr./Mrs. {Recipient Name},
 I am writing this letter to inform you about the unfortunate and unexpected passing away of my uncle today. I intend to leave tonight and be out of town for the funeral and related arrangements until {date}.
 I request you to grant me seven days of emergency leaves because of such circumstances. 
 I trust that my work over the last few years speaks for itself about my willingness to make all endeavors to catch up satisfactorily upon my return. 
 I am confident that my current unfinished tasks will not be negatively affected by this short absence. 
 Once I return to the office on {date}, I hope to be able to concentrate on my work much more effectively. 
 Thank you for your support during this time. 
 Yours sincerely, 
 ABC",7
"Dear Mr./Mrs. {Recipient Name},
 I am writing this letter to inform you that I need to take a day of absence on the {date} of this month. I will be accompanying my mother for an appointment with her doctor. I will be back in the office the next day in the morning without fail. 
 You can contact me at my number in case of questions or clarifications. I have emailed you a copy of the work plan for the day I plan to take leave. I am sure the team will handle everything perfectly during my absence. 
 I apologise for any inconvenience caused due to my absence and hope that you will understand my situation. 
 Sincerely, 
 ABC",7
"Dear Mr./Mrs. {Recipient Name},
 I am writing this letter to inform you that I will not be able to come to work on time on {Date} as I have an appointment with my dentist. Since the appointment is in the morning, I will come to the office around XX PM and try to get as much work done as possible. 
 I am sure the team will handle everything exceptionally. Please contact me if you have any doubts or queries about the current project. 
 Sincerely, 
 ABC",7
"Dear Mr. ABC, 
 I am glad to inform you that I am getting married on the DD/MM/YYYY at XYZ Park, City. 
 I am writing to you to request some time off as I enter this new phase of my life. 
 I would like to apply for a leave from Start Date to End Date. 
 Through this mail, I would also like to extend an invitation to all my colleagues. 
 You can find the invitation attached below. 
 I will make sure that I meet my deadlines by DDMMYYYY, and give a proper handover to XYZ to take care of any urgency in my absence. 
 I hope you will accept my request and grant me leaves for the said dates. 
 Looking forward to your positive reply. 
 Regards, 
 DEF",7
"Dear Mr. ABC, 
 I regret to inform you that my grandmother passed away today, tragically and unexpectedly. In light of these circumstances, I respectfully request that you grant me DD days of paid leave and DD days of unpaid leave beginning today. 
 I am heading home today, DDMMYYYY, and will be out of town for the funeral and other arrangements until DDMMYYYY. 
 I will be back in the office on DDMMYYYY, positively. I would appreciate your concern in this matter, as I will need this time to take care of my family. 
 In case you need me, please leave me a message on my number. You can also reach me at (XXX) 20XX XXXX. 
 Thank you for your consideration. 
 Yours sincerely, 
 XYZ",7
"Dear (Recipient Name) 
 It is with regret that I need to request an emergency leave starting today. As the nature of the leave is that they are unpredictable, I feel sorry that I am unable to provide you with more than one day of notice. 
 My sister met with an accident a few hours back, and she has been hospitalized in an emergency. I am required to be present at the hospital, along with my parents in Bangalore. I anticipate having most of my immediate issue to take taken care of within a week and hope to join office back on DDMMYYYY. 
 Please reach to me in case of any emergencies and queries regarding work at my email id ( email address) and my phone number ( contact number). You can also contact (colleague name) for any work related discussions as she is aware of the ongoing project and tasks related to it. 
 Yours Sincerely, 
 (Your Name)",7
"Dear abc, 
 I am very sorry for my behavior in the staff meeting this morning. I cut you off in the middle of your presentation and criticized your performance in front of the staff. This was not only unprofessional but also simply disrespectful. I let my stress about a personal matter impact my management of the office. 
 I have always said to you, and to all my employees, that I want this office to be a place where you all feel comfortable sharing ideas with one another. When I yelled at you publicly for a small error in your presentation, I damaged that collaborative environment. 
 I am taking steps to make sure I do not lose my temper in that way again. I am working to manage my stress so that I do not let it impact the way I interact with my employees. I also know how capable you are of conducting a terrific staff meeting. I would, therefore, love for you to lead the staff meeting next week. 
 I am very sorry again. Feel free to contact me if you would like to discuss this matter further. 
 Sincerely,
 xyz",1
"Date 
  Dear abc, 
 Your effort on behalf of the Boys and Girls Club to engage our staff in a worthwhile charitable event is noteworthy. Your participation in the organization of the silent auction, the buffet appetizers, the cocktail hour, and locating speakers provided our company with significant positive press in the local community. 
 When my wife and I attended the event, several people thanked me for providing company resources to assist with the event. Your time and commitment stand out, but you also recruited 15 other staff members. Everywhere we went at the event, our staff was helping due to your recruiting and commitment to the charitable cause. 
 Our employees were parking cars, delivering and recording silent auction wins, greeting guests, running the coat check, and more. The company logo on their sweaters was a nice touch, too, as all attendees saw the level of support that we provided at the event due to your charitable contributions. 
 It feels good to know that your efforts set a fund raising record for the club. I wanted to take the time to tell you that we deeply appreciate your charitable contributions of time, energy, and talent to such a worthy cause on our behalf. 
 Thank you. 
 xyz 
 On Behalf of Your Executive Team 
 cc: Executive Team",1
